,tEn1,tEn2,tEn3,tEn17,tEn18,tEn19,tEn20,gUHE1,gUHE2,gUHE3,gUHE17,gUHE18,gUHE19,gUHE20,gUN1,gUN2,gUN3,gUN17,gUN18,gUN19,gUN20,gUSolar1,gUSolar2,gUSolar3,gUSolar17,gUSolar18,gUSolar19,gUSolar20,gUWind1,gUWind2,gUWind3,gUWind17,gUWind18,gUWind19,gUWind20,load1,load2,load3,load17,load18,load19,load20,ENA1,ENA2,ENA3,ENA17,ENA18,ENA19,ENA20,AfSum1,AfSum2,AfSum3,AfSum17,AfSum18,AfSum19,AfSum20,uAfSum1,uAfSum2,uAfSum3,uAfSum17,uAfSum18,uAfSum19,uAfSum20
10,85638,88088,85117,103557,90350,60580,55920,26903.90220411,29412.16991426,30826.541615900005,32191.33484955,31307.3049506,28067.66809229,27779.07419617,1748.99729255,1905.80741279,1999.45841136,1993.03562506,2004.77236524,2004.32699537,1980.20867072,0.28320579,0.27128681,0.34823969,0.42292323,0.38868033,0.41156129,0.39556909,4.1469946,5.86868505,5.31887905,9.5752115,8.35163228,12.3369067,7.22924028,36555.45979111,36915.27798084,37778.24278557,40324.15728661,37362.51974634,38110.38337257,38433.06889509,33779,38796,38854,58383,79607,42805,31879,107378,130740,140246,180255,225284,119844,93708,48152.94,64180.6,76632.88,75221.99,85983.91,38107.4,27762.160000000003
11,77600,85638,88088,118510,103557,90350,60580,25388.07537588,26903.90220411,29412.16991426,32396.12433443,32191.33484955,31307.3049506,28067.66809229,1913.79233991,1748.99729255,1905.80741279,1997.758286,1993.03562506,2004.77236524,2004.32699537,0.31236191,0.28320579,0.27128681,0.37936427,0.42292323,0.38868033,0.41156129,4.58604192,4.1469946,5.86868505,7.52322887,9.5752115,8.35163228,12.3369067,35352.02202723,36555.45979111,36915.27798084,39743.02162886,40324.15728661,37362.51974634,38110.38337257,20006,33779,38796,64152,58383,79607,42805,62746,107378,130740,204802,180255,225284,119844,22262.470000000005,48152.94,64180.6,94587.17,75221.99,85983.91,38107.4
12,66083,77600,85638,117344,118510,103557,90350,25513.07221635,25388.07537588,26903.90220411,30455.64638056,32396.12433443,32191.33484955,31307.3049506,1719.03952259,1913.79233991,1748.99729255,1983.62528726,1997.758286,1993.03562506,2004.77236524,0.36205668,0.31236191,0.28320579,0.38353567,0.37936427,0.42292323,0.38868033,9.1382102,4.58604192,4.1469946,6.88479173,7.52322887,9.5752115,8.35163228,36575.59673649,35352.02202723,36555.45979111,40562.77142847,39743.02162886,40324.15728661,37362.51974634,17251,20006,33779,37150,64152,58383,79607,48909,62746,107378,131184,204802,180255,225284,11418.899999999998,22262.470000000005,48152.94,65010.19999999999,94587.17,75221.99,85983.91
13,49225,66083,77600,115591,117344,118510,103557,26497.30719578,25513.07221635,25388.07537588,29426.18594984,30455.64638056,32396.12433443,32191.33484955,1361.09211661,1719.03952259,1913.79233991,2010.77814896,1983.62528726,1997.758286,1993.03562506,8.65958559,0.36205668,0.31236191,0.3086793,0.38353567,0.37936427,0.42292323,16.3809277,9.1382102,4.58604192,3.4494229,6.88479173,7.52322887,9.5752115,38263.81691628,36575.59673649,35352.02202723,36489.89741982,40562.77142847,39743.02162886,40324.15728661,12801,17251,20006,33758,37150,64152,58383,36852,48909,62746,109804,131184,204802,180255,8207.53,11418.899999999998,22262.470000000005,48870.35999999999,65010.19999999999,94587.17,75221.99
14,35804,49225,66083,114155,115591,117344,118510,27327.40686275,26497.30719578,25513.07221635,29805.92363915,29426.18594984,30455.64638056,32396.12433443,1596.70548619,1361.09211661,1719.03952259,1735.94992063,2010.77814896,1983.62528726,1997.758286,41.82822091,8.65958559,0.36205668,0.28331907,0.3086793,0.38353567,0.37936427,13.60024753,16.3809277,9.1382102,2.7660454,3.4494229,6.88479173,7.52322887,39024.64011509,38263.81691628,36575.59673649,35668.35619135,36489.89741982,40562.77142847,39743.02162886,15858,12801,17251,37570,33758,37150,64152,42945,36852,48909,107732,109804,131184,204802,7944.9,8207.53,11418.899999999998,35929.4,48870.35999999999,65010.19999999999,94587.17
15,38098,35804,49225,104905,114155,115591,117344,28480.75716362,27327.40686275,26497.30719578,28894.87041011,29805.92363915,29426.18594984,30455.64638056,2004.55669133,1596.70548619,1361.09211661,1537.72092698,1735.94992063,2010.77814896,1983.62528726,39.42202944,41.82822091,8.65958559,0.31706159,0.28331907,0.3086793,0.38353567,9.69900293,13.60024753,16.3809277,4.93385998,2.7660454,3.4494229,6.88479173,38233.1163888,39024.64011509,38263.81691628,35943.32567673,35668.35619135,36489.89741982,40562.77142847,31494,15858,12801,22642,37570,33758,37150,86834,42945,36852,62121,107732,109804,131184,24995.94,7944.9,8207.53,13855.16,35929.4,48870.35999999999,65010.19999999999
16,45936,38098,35804,93418,104905,114155,115591,33726.35426618,28480.75716362,27327.40686275,28437.35521863,28894.87041011,29805.92363915,29426.18594984,1809.75416596,2004.55669133,1596.70548619,1991.60499576,1537.72092698,1735.94992063,2010.77814896,52.831565000000005,39.42202944,41.82822091,0.34169854,0.31706159,0.28331907,0.3086793,8.19373272,9.69900293,13.60024753,9.62026159,4.93385998,2.7660454,3.4494229,38434.79184789,38233.1163888,39024.64011509,36964.01090709,35943.32567673,35668.35619135,36489.89741982,44611,31494,15858,21118,22642,37570,33758,130123,86834,42945,53263,62121,107732,109804,47244.91,24995.94,7944.9,8316.15,13855.16,35929.4,48870.35999999999
17,63400,45936,38098,81654,93418,104905,114155,35203.96038454,33726.35426618,28480.75716362,27712.17104975,28437.35521863,28894.87041011,29805.92363915,1881.60332052,1809.75416596,2004.55669133,2019.89047162,1991.60499576,1537.72092698,1735.94992063,74.91272673,52.831565000000005,39.42202944,0.42845548,0.34169854,0.31706159,0.28331907,9.98659998,8.19373272,9.69900293,10.04615169,9.62026159,4.93385998,2.7660454,40070.25576101,38434.79184789,38233.1163888,37414.56968863,36964.01090709,35943.32567673,35668.35619135,62065,44611,31494,18521,21118,22642,37570,192759,130123,86834,47350,53263,62121,107732,87811.99,47244.91,24995.94,6785.5700000000015,8316.15,13855.16,35929.4
18,75115,63400,45936,70826,81654,93418,104905,35302.25660749,35203.96038454,33726.35426618,28518.09423547,27712.17104975,28437.35521863,28894.87041011,1226.82925868,1881.60332052,1809.75416596,2013.97064037,2019.89047162,1991.60499576,1537.72092698,63.70484369,74.91272673,52.831565000000005,0.44246258,0.42845548,0.34169854,0.31706159,6.47917375,9.98659998,8.19373272,11.15289508,10.04615169,9.62026159,4.93385998,39930.85519573,40070.25576101,38434.79184789,37703.12219417,37414.56968863,36964.01090709,35943.32567673,56966,62065,44611,19836,18521,21118,22642,192142,192759,130123,51362,47350,53263,62121,98823.76,87811.99,47244.91,8019.019999999998,6785.5700000000015,8316.15,13855.16
19,86083,75115,63400,68055,70826,81654,93418,37374.23124165,35302.25660749,35203.96038454,29694.81061907,28518.09423547,27712.17104975,28437.35521863,1150.1592672,1226.82925868,1881.60332052,1200.78767068,2013.97064037,2019.89047162,1991.60499576,81.72441642,63.70484369,74.91272673,0.40395217,0.44246258,0.42845548,0.34169854,3.67481063,6.47917375,9.98659998,11.00015271,11.15289508,10.04615169,9.62026159,41864.0894168,39930.85519573,40070.25576101,37402.36663729,37703.12219417,37414.56968863,36964.01090709,59192,56966,62065,27150,19836,18521,21118,199459,192142,192759,73848,51362,47350,53263,105065.41,98823.76,87811.99,17252.29,8019.019999999998,6785.5700000000015,8316.15
20,89454,86083,75115,68612,68055,70826,81654,32470.08413872,37374.23124165,35302.25660749,33698.46112159,29694.81061907,28518.09423547,27712.17104975,1977.58930266,1150.1592672,1226.82925868,1185.61030845,1200.78767068,2013.97064037,2019.89047162,88.57243196,81.72441642,63.70484369,0.42623527,0.40395217,0.44246258,0.42845548,1.85771424,3.67481063,6.47917375,8.32606514,11.00015271,11.15289508,10.04615169,39562.78562019,41864.0894168,39930.85519573,37599.09948698,37402.36663729,37703.12219417,37414.56968863,48223,59192,56966,36708,27150,19836,18521,164455,199459,192142,103779,73848,51362,47350,90561.68,105065.41,98823.76,32490.570000000003,17252.29,8019.019999999998,6785.5700000000015
21,86626,89454,86083,75909,68612,68055,70826,28456.67098703,32470.08413872,37374.23124165,35483.63767092,33698.46112159,29694.81061907,28518.09423547,2009.17146827,1977.58930266,1150.1592672,1937.05332521,1185.61030845,1200.78767068,2013.97064037,102.6705088,88.57243196,81.72441642,0.41759883,0.42623527,0.40395217,0.44246258,2.30897769,1.85771424,3.67481063,14.66838402,8.32606514,11.00015271,11.15289508,37317.51299009,39562.78562019,41864.0894168,39921.23333548,37599.09948698,37402.36663729,37703.12219417,30687,48223,59192,43926,36708,27150,19836,109959,164455,199459,140221,103779,73848,51362,60707.55999999999,90561.68,105065.41,59120.16999999999,32490.570000000003,17252.29,8019.019999999998
22,80832,86626,89454,82112,75909,68612,68055,27216.63562889,28456.67098703,32470.08413872,36459.06987787,35483.63767092,33698.46112159,29694.81061907,2008.9379657000002,2009.17146827,1977.58930266,1784.09988414,1937.05332521,1185.61030845,1200.78767068,105.61402883,102.6705088,88.57243196,0.41972883,0.41759883,0.42623527,0.40395217,4.24222721,2.30897769,1.85771424,7.33746044,14.66838402,8.32606514,11.00015271,37058.70379856,37317.51299009,39562.78562019,41016.37524973,39921.23333548,37599.09948698,37402.36663729,24455,30687,48223,49325,43926,36708,27150,83139,109959,164455,155365,140221,103779,73848,39348.76,60707.55999999999,90561.68,68615.41,59120.16999999999,32490.570000000003,17252.29
23,69705,80832,86626,84294,82112,75909,68612,26176.09246551,27216.63562889,28456.67098703,35252.80075112,36459.06987787,35483.63767092,33698.46112159,2007.28796389,2008.9379657000002,2009.17146827,1776.36746884,1784.09988414,1937.05332521,1185.61030845,120.33433652,105.61402883,102.6705088,0.40797262,0.41972883,0.41759883,0.42623527,4.7155607,4.24222721,2.30897769,7.15695472,7.33746044,14.66838402,8.32606514,37047.20278571,37058.70379856,37317.51299009,40531.7025195,41016.37524973,39921.23333548,37599.09948698,17710,24455,30687,45477,49325,43926,36708,54988,83139,109959,161129,155365,140221,103779,18858.980000000003,39348.76,60707.55999999999,85872.73000000001,68615.41,59120.16999999999,32490.570000000003
24,56955,69705,80832,85117,84294,82112,75909,26937.72163453,26176.09246551,27216.63562889,30826.541615900005,35252.80075112,36459.06987787,35483.63767092,2021.54739331,2007.28796389,2008.9379657000002,1999.45841136,1776.36746884,1784.09988414,1937.05332521,116.36769897,120.33433652,105.61402883,0.34823969,0.40797262,0.41972883,0.41759883,4.98691526,4.7155607,4.24222721,5.31887905,7.15695472,7.33746044,14.66838402,37382.22000492,37047.20278571,37058.70379856,37778.24278557,40531.7025195,41016.37524973,39921.23333548,16965,17710,24455,38854,45477,49325,43926,48840,54988,83139,140246,161129,155365,140221,12161.309999999998,18858.980000000003,39348.76,76632.88,85872.73000000001,68615.41,59120.16999999999
25,46692,56955,69705,88088,85117,84294,82112,23983.96484926,26937.72163453,26176.09246551,29412.16991426,30826.541615900005,35252.80075112,36459.06987787,2012.13598567,2021.54739331,2007.28796389,1905.80741279,1999.45841136,1776.36746884,1784.09988414,133.2808752,116.36769897,120.33433652,0.27128681,0.34823969,0.40797262,0.41972883,7.35609876,4.98691526,4.7155607,5.86868505,5.31887905,7.15695472,7.33746044,38116.06171883,37382.22000492,37047.20278571,36915.27798084,37778.24278557,40531.7025195,41016.37524973,16273,16965,17710,38796,38854,45477,49325,44345,48840,54988,130740,140246,161129,155365,8360.529999999999,12161.309999999998,18858.980000000003,64180.6,76632.88,85872.73000000001,68615.41
